ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_publicado,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_localizacao,ocorrencia_DT,ocorrencia_mes,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
243,INCIDENTE GRAVE,AMARGOSA - BA,BA,SNAZ,19/05/2012,13:40:00,SIM,FINALIZADA,SIM,2,1,NÃO,,2012-05-19 13:40:00,5.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PTGMA,,AVIÃO,CESSNA AIRCRAFT,310R,C310,PISTÃO,BIMOTOR,2495,2495,6.0,1977.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
244,INCIDENTE,PARNAMIRIM - RN,RN,SBNT,19/05/2012,10:40:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-19 10:40:00,5.0,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,PRMYP,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2012.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
245,INCIDENTE,CAMPINAS - SP,SP,SBKP,19/05/2012,10:28:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-19 10:28:00,5.0,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,PRAYH,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,52290,125.0,2010.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
246,ACIDENTE,DRACENA - SP,SP,,20/05/2012,19:35:00,SIM,FINALIZADA,SIM,1,1,NÃO,-21.4638888889 / -51.5916666667,2012-05-20 19:35:00,5.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PPGRZ,,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1993.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO AR,INSTRUÇÃO,SUBSTANCIAL,0
247,ACIDENTE,IMBITUBA - SC,SC,,20/05/2012,17:40:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-05-20 17:40:00,5.0,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,PRRLZ,,AVIÃO,CESSNA AIRCRAFT,172S,C172,PISTÃO,MONOMOTOR,1157,1157,4.0,2005.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
248,INCIDENTE,GOIÂNIA - GO,GO,SBGO,20/05/2012,21:17:00,,FINALIZADA,NÃO,0,2,NÃO,,2012-05-20 21:17:00,5.0,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,PRRST,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,150L,C150,PISTÃO,MONOMOTOR,726,726,2.0,1972.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,0
249,INCIDENTE,GOIÂNIA - GO,GO,SBGO,20/05/2012,21:17:00,,FINALIZADA,NÃO,0,2,NÃO,,2012-05-20 21:17:00,5.0,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,PTRBN,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1980.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0
250,INCIDENTE,BOTUCATU - SP,SP,SDBK,22/05/2012,13:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-22 13:30:00,5.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PPXHQ,EXPERIMENTAL,AVIÃO,,EMB-202 IPANEMA,ZZZZ,PISTÃO,MONOMOTOR,1800,1800,1.0,1998.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,LEVE,0
251,INCIDENTE,RECIFE - PE,PE,SBRF,22/05/2012,13:07:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-22 13:07:00,5.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PRJAI,TÁXI AÉREO,AVIÃO,PIPER AIRCRAFT,PA-34-200T,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1975.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,TÁXI AÉREO,NENHUM,0
252,INCIDENTE GRAVE,TOLEDO - PR,PR,SBTD,23/05/2012,11:35:00,SIM,FINALIZADA,SIM,0,1,NÃO,\t-24.68527778\t / \t-53.69666667\t,2012-05-23 11:35:00,5.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PTVLU,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1990.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
253,INCIDENTE,RIO DE JANEIRO - RJ,RJ,SBRJ,23/05/2012,14:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-23 14:30:00,5.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PRBAK,TÁXI AÉREO,AVIÃO,HAWKER BEECHCRAFT,B200GT,BE20,TURBOÉLICE,BIMOTOR,5670,5670,11.0,2009.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
254,INCIDENTE GRAVE,ITAPIRANGA - AM,AM,,23/05/2012,20:20:00,SIM,FINALIZADA,SIM,1,1,NÃO,2.6988888889 / -58.2613888889,2012-05-23 20:20:00,5.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PPMZZ,,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135T1,EC35,TURBOEIXO,BIMOTOR,2835,2835,7.0,1998.0,HELICÓPTERO,MÚLTIPLA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,0
255,INCIDENTE,RIO BRANCO - AC,AC,SBRB,24/05/2012,03:10:00,SIM,FINALIZADA,NÃO,0,1,NÃO,,2012-05-24 03:10:00,5.0,OUTROS,OUTROS,OTHR,PPPJI,REGULAR,AVIÃO,EMBRAER,ERJ 170-200 LR,E170,JATO,BIMOTOR,38790,38790,92.0,2006.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,LEVE,0
256,INCIDENTE,JUNDIAÍ - SP,SP,SBJD,24/05/2012,19:23:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-24 19:23:00,5.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PREPJ,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,172S,C172,PISTÃO,MONOMOTOR,1157,1157,4.0,2006.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0
257,ACIDENTE,ALCÂNTARA - MA,MA,,25/05/2012,20:45:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-25 20:45:00,5.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTRZQ,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,,AVIÃO,PARTICULAR,CORONEL ALEXANDRE RAPOSO,CORONEL ALEXANDRE RAPOSO,SUBIDA,PRIVADA,SUBSTANCIAL,0
258,INCIDENTE,RECIFE - PE,PE,SBRF,25/05/2012,18:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-25 18:00:00,5.0,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,PRGTU,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,197.0,2007.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
259,INCIDENTE GRAVE,SALTO DE PIRAPORA - SP,SP,SDBN,25/05/2012,20:15:00,SIM,FINALIZADA,SIM,0,1,SIM,-23.6872222222 / -47.5575,2012-05-25 20:15:00,5.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTALN,,AVIÃO,MOONEY AIRCRAFT,M20TN,M20P,PISTÃO,MONOMOTOR,1528,1528,4.0,2007.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
260,INCIDENTE,SÃO PAULO - SP,SP,SBSP,25/05/2012,15:40:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-25 15:40:00,5.0,OUTROS,OUTROS,OTHR,PRGUE,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,193.0,2010.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
261,INCIDENTE GRAVE,CASCAVEL - PR,PR,SBCA,25/05/2012,20:45:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-05-25 20:45:00,5.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTDFZ,,AVIÃO,CESSNA AIRCRAFT,150H,C150,PISTÃO,MONOMOTOR,725,725,2.0,1968.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,INSTRUÇÃO,SUBSTANCIAL,0
262,ACIDENTE,TATUÍ - SP,SP,SDTF,26/05/2012,12:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-05-26 12:30:00,5.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PTDMC,,AVIÃO,SOCATA,ST-10,ST10,PISTÃO,MONOMOTOR,1220,1220,4.0,1970.0,AVIÃO,PARTICULAR,SOROCABA,TATUÍ,POUSO,PRIVADA,SUBSTANCIAL,0
263,ACIDENTE,BELO HORIZONTE - MG,MG,SBPR,26/05/2012,11:00:00,SIM,FINALIZADA,SIM,0,1,SIM,-19.9080555556 / -43.9852777778,2012-05-26 11:00:00,5.0,POUSO LONGO,EXCURSÃO DE PISTA | POUSO LONGO,RE,PTNYV,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,1982.0,AVIÃO,INSTRUÇÃO,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,CARLOS PRATES,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
264,INCIDENTE,SÃO PAULO - SP,SP,SBMT,26/05/2012,19:30:00,,FINALIZADA,NÃO,0,1,SIM,-23.1277777778 / -46.5747222222,2012-05-26 19:30:00,5.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PPGOZ,,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,3.0,1993.0,AVIÃO,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,POUSO,INSTRUÇÃO,LEVE,0
265,ACIDENTE,DELTA - MG,MG,,27/05/2012,14:00:00,,FINALIZADA,NÃO,0,1,NÃO,-19.8538888889 / -47.7797222222,2012-05-27 14:00:00,5.0,FOGO NO SOLO,FOGO/FUMAÇA (SEM IMPACTO) | FOGO NO SOLO,F-NI,PTAJW,PARTICULAR,AVIÃO,BEECH AIRCRAFT,95-B55,BE55,PISTÃO,BIMOTOR,2268,2268,6.0,1973.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
266,ACIDENTE,PONTA GROSSA - PR,PR,SBPG,28/05/2012,20:25:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-05-28 20:25:00,5.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PTJEO,,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,975,975,4.0,1974.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO AR,INSTRUÇÃO,SUBSTANCIAL,0
267,ACIDENTE,UMUARAMA - PR,PR,,30/05/2012,19:00:00,,FINALIZADA,NÃO,0,1,NÃO,\t-23.76944444\t / \t-53.41944444\t,2012-05-30 19:00:00,5.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PTUKJ,AGRÍCOLA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1987.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
268,INCIDENTE,BELO HORIZONTE - MG,MG,SBBH,31/05/2012,00:03:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-31 00:03:00,5.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PPMRV,PARTICULAR,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,4750,7.0,2009.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
269,INCIDENTE,JUNDIAÍ - SP,SP,SBJD,01/06/2012,16:54:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-06 16:54:00,1.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PREJR,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1983.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0
270,ACIDENTE,BELÉM - PA,PA,SBJC,01/06/2012,15:08:00,SIM,FINALIZADA,SIM,0,1,NÃO,-1.415 / -48.4588888889,2012-01-06 15:08:00,1.0,OUTROS,OUTROS,OTHR,PTISU,,AVIÃO,PIPER AIRCRAFT,PA-28R-200,P28R,PISTÃO,MONOMOTOR,1179,1179,4.0,1973.0,AVIÃO,TÁXI AÉREO,FAZENDA SANTO AMBRÓSIO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
271,ACIDENTE,SÃO PAULO - SP,SP,SBMT,02/06/2012,12:29:00,SIM,FINALIZADA,SIM,1,1,NÃO,-23.1277777778 / -46.5747222222,2012-02-06 12:29:00,2.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PTKRF,,AVIÃO,PIPER AIRCRAFT,PA-28R-200,P28R,PISTÃO,MONOMOTOR,1200,1200,4.0,1975.0,AVIÃO,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,VOO A BAIXA ALTURA,INSTRUÇÃO,DESTRUÍDA,1
272,INCIDENTE,JUNDIAÍ - SP,SP,SBJD,03/06/2012,20:28:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-03-06 20:28:00,3.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PREJX,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1979.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0
273,ACIDENTE,RIO CLARO - SP,SP,SDRK,03/06/2012,19:40:00,SIM,FINALIZADA,SIM,0,1,NÃO,-23.4222222222 / -46.7075,2012-03-06 19:40:00,3.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PPRSI,,AVIÃO,PIPER AIRCRAFT,J3C-65,J3,PISTÃO,MONOMOTOR,553,553,2.0,1945.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
274,INCIDENTE,ILHÉUS - BA,BA,SBIL,05/06/2012,18:34:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-05-06 18:34:00,5.0,OUTROS,OUTROS,OTHR,PUTUK,EXPERIMENTAL,ULTRALEVE,ANDERSON BRITO SPINELLI,PARADISE P-1,ULAC,PISTÃO,MONOMOTOR,750,750,2.0,2011.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,EXPERIMENTAL,LEVE,0
275,ACIDENTE,BARÃO DE MELGAÇO - MT,MT,,05/06/2012,20:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,-16.3 / -56.1,2012-05-06 20:30:00,5.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PRHDD,,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,1088,1088,4.0,2001.0,HELICÓPTERO,PARTICULAR,CÁCERES,RONDONÓPOLIS,POUSO,PRIVADA,SUBSTANCIAL,0
276,ACIDENTE,MACAÉ - RJ,RJ,SBME,06/06/2012,21:35:00,SIM,FINALIZADA,SIM,0,1,NÃO,-22.3427777778 / -41.7638888889,2012-06-06 21:35:00,6.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PROMV,,HELICÓPTERO,EUROCOPTER FRANCE,EC 225 LP,EC25,TURBOEIXO,BIMOTOR,11000,11000,21.0,2012.0,HELICÓPTERO,TÁXI AÉREO,CABO FRIO,MACAÉ,TÁXI,TÁXI AÉREO,SUBSTANCIAL,0
277,INCIDENTE GRAVE,GOIÂNIA - GO,GO,SBGO,06/06/2012,14:05:00,SIM,FINALIZADA,SIM,1,1,SIM,,2012-06-06 14:05:00,6.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PRCMF,,AVIÃO,HAWKER BEECHCRAFT,C90GT,BE9L,TURBOÉLICE,BIMOTOR,4581,4581,7.0,2006.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
278,INCIDENTE GRAVE,GOIÂNIA - GO,GO,SBGO,06/06/2012,14:05:00,SIM,FINALIZADA,SIM,1,1,SIM,,2012-06-06 14:05:00,6.0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,PRCMF,,AVIÃO,HAWKER BEECHCRAFT,C90GT,BE9L,TURBOÉLICE,BIMOTOR,4581,4581,7.0,2006.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
279,INCIDENTE,VITÓRIA - ES,ES,SBVT,07/06/2012,12:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-07-06 12:00:00,7.0,OUTROS,OUTROS,OTHR,N381AE,,HELICÓPTERO,BELL HELICOPTER,206L-3,,TURBOEIXO,MONOMOTOR,0,0,0.0,,HELICÓPTERO,,FORA DE AERODROMO,FORA DE AERODROMO,PARTIDA DO MOTOR,,LEVE,0
280,INCIDENTE,SALVADOR - BA,BA,SBSV,07/06/2012,18:24:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-07-06 18:24:00,7.0,OUTROS,OUTROS,OTHR,PRAYQ,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,52290,125.0,2010.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NENHUM,0
281,INCIDENTE,RIO DE JANEIRO - RJ,RJ,SBGL,08/06/2012,20:55:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-08-06 20:55:00,8.0,OUTROS,OUTROS,OTHR,ECJBA,,AVIÃO,AIRBUS INDUSTRIE,A340-642,A346,JATO,QUADRIMOTOR,0,0,0.0,2004.0,AVIÃO,,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,,NENHUM,0
282,INCIDENTE,SALVADOR - BA,BA,SBSV,11/06/2012,19:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-11-06 19:30:00,11.0,OUTROS,OUTROS,OTHR,PPPTT,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,22500,73.0,2010.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,LEVE,0
283,INCIDENTE,CABO FRIO - RJ,RJ,SBCB,11/06/2012,14:50:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-11-06 14:50:00,11.0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,PRCHD,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2006.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,LEVE,0
284,INCIDENTE GRAVE,BELO HORIZONTE - MG,MG,SBPR,12/06/2012,18:40:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-12-06 18:40:00,12.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PTCRG,,AVIÃO,CESSNA AIRCRAFT,150F,C150,PISTÃO,MONOMOTOR,726,726,2.0,1966.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0
285,ACIDENTE,SINOP - MT,MT,,13/06/2012,11:50:00,SIM,FINALIZADA,SIM,0,1,NÃO,-11.885 / -55.5861111111,2012-06-13 11:50:00,6.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTEKM,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,P32R,PISTÃO,MONOMOTOR,1633,1633,6.0,1977.0,AVIÃO,PARTICULAR,PRESIDENTE JOÃO BATISTA FIGUEIREDO,JUARA SUL,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
286,INCIDENTE,RIO DE JANEIRO - RJ,RJ,SBJR,13/06/2012,21:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-06-13 21:00:00,6.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PRCHB,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,S76,TURBOEIXO,BIMOTOR,4898,4898,14.0,1978.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
287,INCIDENTE,VÁRZEA GRANDE - MT,MT,SBCY,13/06/2012,10:51:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-06-13 10:51:00,6.0,VAZAMENTO DE OUTROS FLUIDOS,OUTROS | VAZAMENTO DE OUTROS FLUIDOS,OTHR,PROAT,REGULAR,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,44450,107.0,1992.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
288,INCIDENTE,RIO DE JANEIRO - RJ,RJ,SBJR,13/06/2012,23:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-06-13 23:00:00,6.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PTCQF,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,172G,C172,PISTÃO,MONOMOTOR,1043,1043,4.0,1966.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ESPERA,INSTRUÇÃO,NENHUM,0
289,ACIDENTE,PAÇO DO LUMIAR - MA,MA,SJHR,14/06/2012,19:40:00,SIM,FINALIZADA,SIM,2,1,NÃO,-2.5202777778 / -44.1372222222,2012-06-14 19:40:00,6.0,OUTROS,OUTROS,OTHR,PTYCN,,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1451,1451,5.0,1973.0,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,PRIVADA,SUBSTANCIAL,1
